Age,Gender,Height_cm,Weight_kg,BMI,Workout_Type,Workout_Duration_min,Heart_Rate_avg,Intensity_Level,Diet_Type,Sleep_Hours,Hydration_Liters,Workout_Frequency,Calories_Burned_encoded
85.0,1,162.0,114.0,27.45,1,72.2,116.0,0,0,7.1,2.0,3.0,0
41.77,0,158.0,58.0,34.32,2,80.0,72.0,2,2,7.9,1.2,4.0,2
32.0,1,151.0,66.0,21.9,1,111.0,91.0,2,1,8.7,0.9,6.0,1
60.0,0,154.0,114.0,29.3,2,92.0,71.0,2,2,8.6,0.7,1.0,0
41.77,1,162.0,52.0,19.22,0,70.0,90.0,2,2,8.7,1.1,2.0,0
38.0,0,165.0,75.0,19.6,1,72.2,80.0,0,2,4.2,2.3,3.0,0
56.0,0,165.54,102.0,27.61,2,96.0,67.0,2,2,7.6,2.6,1.0,1
36.0,0,173.0,80.0,20.23,2,117.0,84.0,0,2,5.1,2.7,6.0,0
40.0,0,152.0,75.0,18.87,2,102.0,64.0,2,1,6.6,1.2,1.0,1
28.0,1,171.0,72.0,21.33,1,97.0,61.0,2,2,8.0,2.2,2.0,2
28.0,0,153.0,79.0,27.82,2,24.0,97.0,2,1,6.1,1.1,1.0,0
41.0,1,160.0,59.0,30.11,2,110.0,98.0,2,2,8.6,2.1,5.0,0
53.0,0,172.0,113.0,21.84,2,47.0,80.0,2,1,4.2,2.7,3.0,2
57.0,0,175.0,71.0,29.53,0,109.0,97.0,2,2,8.0,0.6,4.0,2
41.0,0,165.54,64.0,21.51,2,29.0,81.0,0,0,4.7,3.0,3.0,2
20.0,0,178.0,105.0,28.62,1,107.0,99.0,2,2,4.9,2.6,1.0,1
39.0,0,152.0,69.0,25.3,0,100.0,92.0,2,2,6.4,2.4,5.0,2
41.77,0,165.0,96.0,29.29,0,71.0,91.0,2,2,6.0,2.2,3.0,2
41.0,0,171.0,102.0,27.55,1,99.0,76.0,0,2,6.4,2.4,2.0,2
61.0,0,164.0,102.0,33.97,1,36.0,77.0,2,1,8.7,3.0,5.0,2
47.0,1,177.0,85.13,18.57,2,84.0,62.0,2,2,7.3,2.4,3.62,2
55.0,0,159.0,51.0,33.11,2,40.0,65.0,0,2,5.5,1.4,3.62,2
19.0,1,158.0,107.0,27.55,2,73.0,72.0,2,2,4.9,2.0,1.0,1
41.77,0,160.0,68.0,34.23,2,68.0,90.0,0,2,6.1,4.2,2.0,2
50.0,1,165.0,85.13,23.15,1,41.0,76.0,1,2,6.3,2.9,1.0,0
29.0,1,159.0,61.0,24.8,0,88.0,80.0,0,2,7.0,2.8,6.0,1
39.0,0,166.0,75.0,20.01,2,83.0,75.0,1,2,5.3,1.9,1.0,2
61.0,0,168.0,76.0,20.35,2,55.0,76.0,1,0,6.6,2.5,6.0,2
42.0,0,151.0,78.0,30.49,2,40.0,91.0,0,2,4.5,2.8,2.0,2
44.0,0,173.0,64.0,34.08,2,75.0,60.0,2,0,6.8,1.1,3.62,2
59.0,0,172.0,95.0,28.58,1,92.0,97.0,1,1,7.1,1.9,3.0,2
45.0,0,151.0,50.0,27.55,1,110.0,67.0,2,0,5.0,1.84,5.0,2
33.0,1,155.0,109.0,31.07,1,67.0,60.0,2,2,8.1,2.4,6.0,2
32.0,0,168.0,106.0,22.84,2,95.0,61.0,1,2,7.1,1.4,2.0,0
64.0,0,157.0,52.0,19.25,2,37.0,96.0,2,2,7.2,2.3,6.0,2
61.0,0,175.0,67.0,18.53,2,118.0,83.0,0,0,6.5,1.5,3.0,2
20.0,0,178.0,101.0,27.55,2,34.0,86.0,0,2,8.5,0.8,2.0,0
54.0,0,193.0,109.0,22.48,2,63.0,79.0,2,2,7.5,0.8,4.0,2
24.0,1,175.0,150.5,19.53,2,113.0,80.0,1,0,5.9,0.8,4.0,1
38.0,0,163.0,109.0,21.46,2,64.0,96.0,2,2,6.6,0.6,5.0,0
26.0,1,174.0,75.0,20.55,0,116.0,94.0,2,2,4.4,1.8,2.0,2
56.0,1,165.54,68.0,33.6,0,55.0,97.0,2,0,4.8,2.2,3.0,1
35.0,0,150.0,71.0,20.81,2,59.0,74.0,1,2,9.0,0.8,5.0,0
21.0,0,170.0,82.0,27.37,2,70.0,89.0,1,0,6.0,2.0,4.0,2
42.0,1,152.0,87.0,28.29,2,49.0,63.0,2,2,8.5,2.0,4.0,0
31.0,0,171.0,84.0,27.47,2,45.0,98.0,2,2,4.9,0.9,4.0,2
26.0,0,175.0,116.0,20.13,2,104.0,74.0,2,2,6.1,1.5,5.0,1
43.0,0,167.0,59.0,23.76,1,50.0,82.0,2,0,8.8,2.4,3.0,2
19.0,0,158.0,64.0,19.35,2,75.0,74.0,1,2,4.5,0.5,4.0,2
37.0,1,155.0,60.0,25.03,0,80.0,85.0,0,2,7.0,0.9,5.0,2
45.0,0,172.0,73.0,21.61,2,36.0,71.0,1,2,8.6,3.0,5.0,0
64.0,0,170.0,53.0,27.77,2,100.0,77.0,2,2,8.7,2.3,1.0,1
24.0,0,174.0,62.0,29.93,1,117.0,65.0,2,2,8.2,1.7,1.0,2
61.0,0,150.0,106.0,27.28,2,43.0,77.0,2,2,8.3,2.1,6.0,2
25.0,1,170.0,86.0,25.66,0,116.0,83.0,2,0,6.6,2.6,3.0,2
64.0,1,176.0,85.13,24.89,2,23.0,97.0,2,2,5.1,2.6,4.0,2
85.0,1,159.0,50.0,32.39,0,28.0,87.0,0,1,7.7,1.3,1.0,1
31.0,0,176.0,109.0,22.12,0,21.0,74.0,0,2,8.9,1.7,3.0,2
34.0,1,155.0,61.0,30.61,2,54.0,78.0,2,2,6.6,2.1,1.0,1
53.0,0,172.0,70.0,31.0,1,57.0,64.0,2,2,11.3,0.7,4.0,0
41.77,0,161.0,60.0,25.42,2,64.0,63.0,2,1,6.9,2.9,5.0,2
21.0,0,153.0,93.0,23.41,2,34.0,76.0,2,0,7.5,1.6,4.0,2
19.0,1,177.0,107.0,26.26,2,72.2,69.0,2,0,5.0,1.4,1.0,2
23.0,0,162.0,93.0,20.04,0,72.2,71.0,0,2,7.6,2.8,4.0,2
59.0,0,166.0,83.0,19.26,0,50.0,64.0,2,2,6.9,0.8,5.0,2
21.0,1,176.0,74.0,20.34,0,71.0,66.0,2,0,7.1,0.6,2.0,2
46.0,0,157.0,53.0,21.59,2,60.0,82.0,2,2,5.5,2.2,5.0,2
35.0,1,165.54,113.0,26.82,2,76.0,61.0,2,0,4.8,1.5,1.0,2
43.0,0,169.0,65.0,32.51,0,61.0,89.0,1,1,7.1,2.4,5.0,2
61.0,0,152.0,59.0,22.39,2,72.0,96.0,2,2,6.9,0.7,3.62,1
85.0,0,161.0,115.0,33.93,1,75.0,64.0,0,2,5.7,1.5,3.0,1
27.0,0,156.0,84.0,27.55,2,106.0,79.0,2,0,5.5,1.1,4.0,2
53.0,0,161.0,55.0,34.32,2,95.0,85.0,2,1,5.7,2.3,3.62,1
31.0,0,151.0,68.0,32.32,2,91.0,98.0,2,2,6.4,1.1,2.0,2
48.0,0,173.0,108.0,24.5,0,72.0,65.0,1,2,8.9,1.6,2.0,0
41.77,1,163.0,102.0,19.7,2,104.0,88.0,2,0,7.8,2.5,4.0,2
25.0,1,171.0,57.0,27.89,2,104.0,69.0,1,0,8.3,2.8,4.0,2
31.0,0,172.0,59.0,27.72,0,51.0,75.0,0,2,6.5,2.3,3.0,0
40.0,0,179.0,116.0,32.52,2,100.0,93.0,2,2,6.6,1.6,5.0,1
57.0,0,193.0,87.0,34.93,2,72.2,80.0,2,1,5.0,1.9,2.0,2
38.0,0,158.0,78.0,26.88,2,56.0,95.0,2,1,7.6,2.2,1.0,2
33.0,0,170.0,150.5,24.2,1,107.0,64.0,0,0,6.1,2.7,4.0,2
41.77,0,160.0,72.0,21.57,1,72.2,92.0,2,1,7.7,2.7,4.0,2
35.0,1,154.0,95.0,18.58,1,72.2,78.0,2,1,6.6,2.8,6.0,1
64.0,0,152.0,77.0,26.9,2,30.0,91.0,0,2,4.5,2.5,6.0,2
41.0,1,176.0,75.0,27.67,2,73.0,82.0,2,2,4.9,0.9,6.0,1
43.0,1,166.0,59.0,32.11,1,79.0,62.0,2,2,8.1,2.4,2.0,1
42.0,1,151.0,85.13,26.83,2,72.2,80.0,0,2,5.3,2.5,6.0,1
62.0,0,173.0,53.0,27.55,1,109.0,95.0,2,1,5.3,2.7,4.0,1
58.0,0,150.0,104.0,28.86,2,89.0,87.0,2,2,8.6,2.8,2.0,2
46.0,0,156.0,85.13,32.37,1,72.2,98.0,0,2,7.3,1.8,1.0,2
32.0,0,179.0,116.0,20.95,1,106.0,64.0,2,2,4.6,2.1,3.62,0
62.0,0,163.0,56.0,32.61,2,61.0,72.0,0,2,4.7,0.5,2.0,2
18.0,0,154.0,104.0,29.64,2,56.0,70.0,2,2,5.4,1.9,4.0,2
42.0,1,168.0,80.0,21.31,0,111.0,81.0,1,2,7.0,1.7,3.0,1
