User_ID,Age,Gender,Height_cm,Weight_kg,BMI,Workout_Type,Workout_Duration_min,Heart_Rate_avg,Intensity_Level,Diet_Type,Sleep_Hours,Hydration_Liters,Workout_Frequency,Calories_Burned
Other,99.0,Male,162.0,114.0,27.45,Strength,,250.0,High,Mixed,7.1,2.0,3.0,High
Invalid,,Female,158.0,58.0,34.32,N/A,80.0,72.0,Unknown,Vegetarian,7.9,1.2,4.0,
U00003,32.0,Male,151.0,66.0,21.9,Strength,111.0,91.0,Medium,Vegan,8.7,0.9,6.0,Low
U00004,60.0,Invalid,154.0,114.0,29.3,Yoga,92.0,71.0,Medium,Unknown,8.6,0.7,1.0,High
U00005,,Male,162.0,52.0,19.22,Cardio,70.0,90.0,Medium,Invalid,8.7,1.1,2.0,High
U00006,38.0,Invalid,165.0,75.0,19.6,Strength,,,High,Vegetarian,4.2,2.3,3.0,High
U00007,56.0,Invalid,,102.0,27.61,N/A,96.0,67.0,Invalid,N/A,7.6,2.6,1.0,Low
U00008,36.0,Female,173.0,80.0,20.23,Invalid,117.0,84.0,High,Vegetarian,5.1,2.7,6.0,High
U00009,40.0,Female,152.0,75.0,18.87,Invalid,102.0,64.0,Unknown,Vegan,,1.2,1.0,Low
U00010,28.0,Male,171.0,72.0,21.33,Strength,97.0,61.0,N/A,N/A,8.0,2.2,2.0,N/A
Other,28.0,Unknown,153.0,79.0,27.82,Yoga,24.0,97.0,,Vegan,6.1,1.1,1.0,High
Invalid,41.0,Male,160.0,59.0,30.11,Other,110.0,98.0,Medium,Vegetarian,8.6,2.1,5.0,High
U00013,53.0,Other,172.0,113.0,21.84,Yoga,47.0,,Unknown,Vegan,4.2,2.7,3.0,Other
N/A,57.0,N/A,175.0,71.0,29.53,Cardio,109.0,97.0,Unknown,Vegetarian,8.0,0.6,4.0,Medium
Other,41.0,N/A,,64.0,21.51,N/A,29.0,81.0,High,Mixed,4.7,3.0,3.0,Invalid
U00016,20.0,N/A,178.0,105.0,28.62,Strength,107.0,99.0,Unknown,Vegetarian,4.9,2.6,1.0,Low
U00017,39.0,Invalid,152.0,69.0,25.3,Cardio,100.0,92.0,,Unknown,6.4,2.4,5.0,Medium
N/A,,Unknown,165.0,96.0,29.29,Cardio,71.0,91.0,N/A,,6.0,2.2,3.0,Other
